tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
"🔴 [Live]: One of the coolest #Lollapalooza sets you’ll ever see 🙌
Tonight the man himself @Zhumusic presents… https://t.co/iu0ndEGCNY",2020-08-01 13:05:00+08:00,6,40,['Lollapalooza'],no_media,['ZHUmusic'],True,False
#Lolla2020 welcomes Chicago’s very own @chancetherapper to the mic. We’re taking you back to his #Lollapalooza head… https://t.co/svLEWmUQmE,2020-08-01 10:25:00+08:00,9,50,['Lolla2020'],no_media,['chancetherapper'],True,False
"Day 2 of #Lolla2020 continues... catching up with @Kehlani now. From the vault, watch her incredible 2016… https://t.co/K7XIbom1vW",2020-08-01 09:00:01+08:00,4,27,['Lolla2020'],no_media,['Kehlani'],True,False
Did you miss @1GunnaGunna at #Lollapalooza last year? We got you. See what you missed during #Lolla2020! From… https://t.co/ehncrnHVxr,2020-08-01 06:00:01+08:00,2,29,['Lollapalooza'],no_media,['1GunnaGunna'],True,False
"🗣 Chicago, we’re there in spirit! Day 2 of #Lolla2020 is about to heat up. Tune into incredible LIVE @Lollapalooza… https://t.co/3UzdCxGy0V",2020-08-01 05:50:00+08:00,12,58,['Lolla2020'],no_media,['lollapalooza'],True,False
"Rollin' into the weekend like... 🕺💃

New music this week from
✅ @SamFischer 
✅ @maluma 
✅ @Alanis 
✅ @mxmtoon 
✅… https://t.co/snsaCOwnzm",2020-08-01 01:37:29+08:00,8,164,[],no_media,['SamFischer'],True,False
@dominicfike 👀,2020-07-31 14:13:56+08:00,0,0,[],no_media,['dominicfike'],False,False
"""This album was inspired by everything that could possibly go wrong.""
Listen to the debut studio album by… https://t.co/sOVHDOubJg",2020-07-31 12:01:31+08:00,130,895,[],no_media,[],True,False
".@Tovelo is still a cool girl, still a still a cool girl. Relive her 2017 set from @Lollapalooza and dance into the… https://t.co/eakbwLHRzY",2020-07-31 11:50:00+08:00,3,35,[],no_media,['ToveLo'],True,False
@bastilledan 👽,2020-07-31 11:29:20+08:00,0,1,[],no_media,['bastilledan'],False,False
