tweet_content,created_at,retweet_count,favorite_count
"Ya salió Canciones sobre una casa, cuatro amigos y un perro. Lo pueden escuchar en @SpotifyARG @AppleMusic… https://t.co/Sk0Ws1xdiE",2021-10-18 00:36:18+08:00,4,118
Join us on Wednesday 20 October at 10am EDST as we announce the nominees for the 2021 ARIA Awards in partnership wi… https://t.co/XWGsKetrdj,2021-10-12 11:15:18+08:00,20,140
"Thx @youtubemusic Canada for featuring ""PRETTY"" on the 'Pop Before It Breaks' playlist and featuring me on the cove… https://t.co/VpRxW4K1YX",2021-10-19 04:01:14+08:00,5,28
Thank you @youtubemusic 💎❤️ https://t.co/TgoZOn6rVx,2021-10-11 17:34:07+08:00,76,408
Huge congratulations to @amyshark who has 6 nominations in the 2021 ARIA Awards in partnership with @youtubemusic!… https://t.co/CRC4pW7fxI,2021-10-20 08:26:01+08:00,18,71
"@youtubemusic @googlemaps @Google @gmail @googlephotos @madebygoogle Looking good, team https://t.co/ThOooVX9oY",2021-10-20 01:36:48+08:00,9,61
thank you @youtubemusic @Vevo 🤍 https://t.co/Z2qdQL0j9H,2021-10-12 04:12:38+08:00,387,4955
"Less than a week left to apply for the MMF's Accelerator Programme, supported by @youtubemusic! We spoke to… https://t.co/ZcQC6TrhDZ",2021-10-20 00:23:45+08:00,5,6
Love @youtubemusic 💌 https://t.co/UeHvsAFaox,2021-10-11 22:33:36+08:00,123,1003
UNREAL!! Thanks @youtubemusic @YouTube x https://t.co/jQ3xLSWQvh,2021-10-11 22:13:55+08:00,98,1452
“Anarchy” bundle on @youtubemusic ❤️‍🔥 https://t.co/Ncfak3wXDk https://t.co/lNRsG2kusU,2021-10-13 06:30:06+08:00,15,114
Salute to @fireboydml for being featured as @youtubemusic’s “Trending Artist On The Rise” with his hit single #Peru… https://t.co/PsyuKYR4j0,2021-10-13 00:57:17+08:00,162,651
https://t.co/0SbBNgNR2H @youtubemusic https://t.co/ZTVk4qwdLC,2021-10-14 04:43:42+08:00,494,6191
💎❤️ @youtubemusic https://t.co/fCDYg8A91T,2021-10-13 18:38:42+08:00,25,100
"Congratulations to the 2021 #ARIAs Best Video presented by @youtubemusic nominees: @amyshark, @budjerahs,… https://t.co/7Etz3CIyXw",2021-10-20 07:15:34+08:00,45,156
Join us tomorrow at 10am AEDT as we reveal the nominees for the 2021 ARIA Awards in partnership with @youtubemusic.… https://t.co/mo9QDqOFFY,2021-10-19 14:59:07+08:00,29,178
"""Radio Free Europe"" in Hi-Def! Visit @youtubemusic to watch and subscribe to the R.E.M. YouTube Channel.… https://t.co/vfuzybUxcq",2021-10-15 11:38:15+08:00,22,166
To vote for @arianagrande to win Most Popular International Artist at the 2021 ARIA Awards in partnership with… https://t.co/OjAAEgfcAf,2021-10-20 12:00:01+08:00,964,2448
Thank you @youtubemusic https://t.co/ZsRqlhV5Mf https://t.co/tLexD6wEg3,2021-10-16 06:10:38+08:00,56,1029
"#Gimmie @youtubemusic 🎈
https://t.co/94EfapLJRM https://t.co/s6c0qNSEVk",2021-10-15 23:41:17+08:00,70,912
Viernes social y @youtubemusic tiene la playlist que te hará conocer los temas que están en boca de todxs. ¿Ya los… https://t.co/xS1SfUDXkL,2021-10-16 00:00:42+08:00,28,77
Thanks to @youtubemusic for adding The Tower of Montevideo to Heavy Stereo. https://t.co/2iU385UkH1 https://t.co/1Bi8EnMsD9,2021-10-15 22:13:21+08:00,27,432
❤️❤️ @youtubemusic https://t.co/MNKgyRBTvW,2021-10-15 19:40:54+08:00,353,3434
"Comienza la semana con toda, escuchando la playlist de @youtubemusic ""RELEASED""🎶💥 en donde encontrarás esos nuevos… https://t.co/z61leYjyYi",2021-10-25 23:00:25+08:00,7,25
"Si hoy necesitas a tu rayito de luz para devolverte las ganas y quitarte el dolor, dedícale lo nuevo de… https://t.co/N1w7fyWVYE",2021-10-25 23:00:24+08:00,11,28
"Comienza la semana con toda, escuchando la playlist de @youtubemusic ""RELEASED""🎶💥 en donde encontrarás esos nuevos… https://t.co/mgunAWnAL4",2021-10-25 23:00:25+08:00,5,6
"Mew Suppasit
Global Collaboration Project 2021
First Single

“ SPACEMAN ”

Listen on 
📍 YouTube Music @youtubemusic… https://t.co/ZQtEdLq4qE",2021-10-18 10:15:44+08:00,655,513
"Crank up ""LET""S GET THE PARTY STARTED"" (Ft. @bmthofficial) on @youtubemusic’s Maximum Decibels. Check out the playl… https://t.co/qqFvWGIgQa",2021-10-18 06:41:53+08:00,20,166
"Thanks @youtubemusic Canada for featuring my new song, ""This Is My Prairie"" with my friends Terri Clark, Brett Kiss… https://t.co/pOb8lSoxz0",2021-10-27 08:00:02+08:00,7,90
"We've teamed up with @youtubemusic for the Young, Gifted and Black: Women In Music webinar which will be available… https://t.co/7L5ydDlA4m",2021-10-26 22:06:33+08:00,12,19
Made an official karaoke video for #girltogirl! 🪐📺 Premiering it from backstage tonight with a little @YouTube live… https://t.co/4r4UB5TuwN,2021-10-27 01:48:17+08:00,11,45
Este lunes #SeHablaPop con @pabloalboran y su nueva canción #LlueveSobreMojado ft. @Aitanax y @alvarito_deluna. Dis… https://t.co/Ktvhv42FDN,2021-10-19 06:45:48+08:00,42,236
"Coming 🔜: We’re ~hitting shuffle~ on @YouTubeMusic free features. If you listen for free w/ ads, you’ll enjoy some… https://t.co/Rj2e1OGSg1",2021-10-19 04:14:30+08:00,42,341
"Save the date, #SheeranShorts on @YouTube Shorts Oct 25th → https://t.co/ZC4vzMN9HS @YouTubeMusic https://t.co/2lh6zZclbF",2021-10-19 00:25:12+08:00,358,3541
"Watch The Beachland Ballroom Pt.2 on 20th October 6 pm BST / 1 pm EDT.

https://t.co/oDCgV2ABFv

@partisanrecords… https://t.co/8j2Mcd2v4R",2021-10-18 22:40:26+08:00,40,304
Congratulations to our distributed artists on being selected for the @youtubemusic #YouTubeBlack Voices Class of 20… https://t.co/ZVkEldo7f3,2021-10-28 01:53:59+08:00,7,19
Big up @walshyfire 🔥 Part of @youtubemusic #YouTubeBlack Voices Music Class of 2022 https://t.co/psDHsf1c5C,2021-10-27 22:58:30+08:00,12,51
To vote for @taylorswift13 to win Most Popular International Artist at the 2021 ARIA Awards in partnership with… https://t.co/VW78gIGaEQ,2021-10-20 12:45:00+08:00,3193,5171
A huge congratulations to @kylieminogue who has received 2 nominations in the 2021 ARIA Awards in partnership with… https://t.co/t4HWhCqfGY,2021-10-20 10:00:00+08:00,98,532
"Congratulations to the 2021 #ARIAs Song of the Year presented by @youtubemusic nominees: @amyshark &amp; @keithurban,… https://t.co/I24uoIcRiC",2021-10-20 07:16:18+08:00,134,477
"Thank you @youtubemusic for adding A Second To Midnight to the Neon playlist 💜
https://t.co/snxb0vvRct https://t.co/nermTsLEf7",2021-10-20 20:13:51+08:00,122,1211
