friends_screen_name,created_at,friends_count,followers_count,tweet_count
inglewoodSiR,2009-06-05 03:27:33+08:00,985,131141,12186
tumabasa,2009-03-05 23:51:24+08:00,1465,75008,23648
sonymusic,2009-04-01 03:38:27+08:00,1721,725325,27081
DraxProject,2013-08-10 20:54:12+08:00,213,4768,1132
flumemusic,2011-05-13 16:46:28+08:00,569,478322,2347
kennybeats,2009-05-17 23:58:34+08:00,689,418202,1352
conangray,2013-12-02 10:25:10+08:00,0,1213529,9705
TiwaSavage,2009-05-09 12:29:32+08:00,2765,4952604,40661
Rhino_Records,2009-01-22 03:17:01+08:00,1852,108834,17038
lollapalooza,2008-07-15 01:21:12+08:00,1438,511751,10074
Santandave1,2012-03-29 05:59:12+08:00,1219,742824,3369
therealjuicyj,2009-03-14 06:59:30+08:00,1656,2795948,46530
wizkhalifa,2009-02-08 01:59:34+08:00,874,36314677,49038
YouTubeIndia,2010-08-19 22:02:35+08:00,423,1346515,18504
IAMSUMMERWALKER,2010-10-09 09:08:41+08:00,162,1436943,2358
ItsBennyBlanco,2009-03-07 00:26:08+08:00,306,142448,13674
2chainz,2010-09-01 11:05:30+08:00,723,4459421,35965
JheneAiko,2009-02-19 06:17:46+08:00,2,2854804,799
THEREALSWIZZZ,2009-03-18 12:28:05+08:00,3410,2483787,33049
baileymyown,2013-07-31 17:21:47+08:00,326,6278,4300
defjam,2009-02-27 08:26:15+08:00,251,1028768,82651
MarcAnthony,2011-02-19 07:59:54+08:00,804,11302599,7438
QuavoStuntin,2011-09-29 01:58:30+08:00,354,3603840,15876
officialgiggs,2011-08-08 21:19:45+08:00,5203,362038,18044
arizona,2014-12-29 05:56:26+08:00,6482,25809,3548
jonasbrothers,2009-03-14 07:53:18+08:00,2204,4771685,8540
Callmecadet,2010-12-04 10:41:26+08:00,514,44493,46399
KreptandKonan,2011-09-09 07:53:30+08:00,32,72343,1503
kreptplaydirty,2010-01-05 08:52:00+08:00,928,286753,3966
NaughtyBoyMusic,2010-03-01 07:52:47+08:00,3092,195253,18317
SonyMusicUK,2010-02-05 22:13:11+08:00,2037,102233,18229
JorjaSmith,2014-06-27 04:02:11+08:00,0,428614,4087
kanebrown,2013-06-02 14:06:58+08:00,14112,1752687,4342
lukecombs,2009-09-14 11:40:31+08:00,614,874538,10130
OffsetYRN,2011-12-05 01:53:24+08:00,424,3826533,18466
idlesband,2010-06-07 22:35:08+08:00,41,77419,280
keepcool,2018-01-31 00:57:19+08:00,109,7546,1548
rkyncl,2010-07-06 09:56:58+08:00,302,24177,1233
MariahCarey,2009-01-21 02:08:51+08:00,188,21624256,10289
cher,2010-03-18 07:05:55+08:00,192,3947189,34631
therulernyc,2015-05-19 01:35:17+08:00,106,27140,1518
ONEOKROCK_japan,2010-01-23 20:50:12+08:00,52,1693135,1710
YouTubeJapan,2010-02-04 00:53:12+08:00,1008,378024,18554
tenilletownes,2010-10-15 09:52:31+08:00,1622,22253,10652
Madonna,2012-03-03 10:37:57+08:00,45,2732231,4420
Diddy,2008-12-19 01:52:09+08:00,1737,15439599,421
RITUAL_MUSIC,2014-02-26 21:31:06+08:00,797,3101,2247
YoungMoneySite,2009-12-21 01:40:15+08:00,663,394770,23236
souljaboy,2008-10-18 01:09:15+08:00,316,5404967,127797
blogotheque,2008-04-24 16:48:36+08:00,880,267411,9180
ParlophoneFR,2009-04-01 18:17:21+08:00,528,35089,8651
TEYANATAYLOR,2009-03-11 09:53:22+08:00,1065,1432547,41845
bmthofficial,2009-03-11 19:25:10+08:00,317,1905620,8344
coachella,2007-01-24 04:11:53+08:00,4,955835,4346
brothersosborne,2012-06-26 09:09:54+08:00,107,201370,11739
KaceyMusgraves,2009-04-14 02:38:38+08:00,323,977312,1746
Tip,2010-02-26 23:47:13+08:00,724,9150737,19872
juliamichaels,2009-11-14 02:53:55+08:00,435,245121,22007
KojeyRadical,2010-11-27 04:38:28+08:00,152,18239,50432
coldplay,2009-01-11 19:04:45+08:00,773,23472593,8885
fosterthepeople,2010-02-23 18:38:52+08:00,14359,905018,6088
TDCinemaClub,2009-07-06 20:10:38+08:00,212,410500,5813
tameimpala,2008-09-25 05:37:29+08:00,164,592902,994
DermotKennedy,2010-05-24 19:08:52+08:00,64,98361,4044
foals,2010-03-23 00:37:03+08:00,354,362135,2835
lennonstella,2016-05-07 00:25:57+08:00,66,67572,1029
springsteen,2009-05-30 02:46:10+08:00,41,1337376,4458
UMGSA,2011-11-22 15:38:16+08:00,2013,97999,60290
NigelSylvester,2009-08-16 12:21:47+08:00,1199,36927,26475
wengie,2009-04-15 13:08:38+08:00,501,134320,10065
ygofficialblink,2017-06-23 18:53:32+08:00,9,7579399,1947
Lido,2013-11-25 05:42:40+08:00,420,76483,1955
BRITs,2009-11-08 23:37:11+08:00,1054,744402,18320
DollyParton,2008-05-16 04:00:06+08:00,43,5305301,2642
ThomasRhett,2009-09-19 10:21:56+08:00,4777,2412305,6447
KelseaBallerini,2009-06-05 10:04:53+08:00,534,1078168,17392
MarenMorris,2009-02-17 02:33:18+08:00,101,801525,4538
TeamAriana,2013-07-24 05:17:22+08:00,458,466717,2474
SusanWojcicki,2008-08-13 05:24:11+08:00,372,325632,1769
MeekMill,2009-02-11 11:15:04+08:00,1491,10962653,16348
MomAndPopMusic,2009-03-16 23:28:28+08:00,1774,22922,10820
googlearts,2011-02-08 10:31:38+08:00,1785,163852,11481
ASAPMOB,2011-10-20 17:49:44+08:00,9783,649666,13518
musicbizworld,2011-08-29 21:53:42+08:00,0,26341,9672
QuincyDJones,2009-04-29 02:25:45+08:00,3020,552945,4671
jagjaguwar,2008-11-25 05:37:22+08:00,2474,71680,28735
unofficialTHEY,2015-08-07 06:30:16+08:00,51,46896,3765
kodieshane,2011-02-27 11:06:37+08:00,316,52571,17035
piso21music,2009-08-30 03:16:01+08:00,3748,443638,29820
JLo,2009-10-28 00:24:51+08:00,1815,45174910,17297
copelandband,2008-10-31 02:53:53+08:00,100,25209,983
ManuelTurizoMTZ,2017-09-20 02:54:25+08:00,32,247243,1067
qveenherby,2012-06-03 01:18:36+08:00,352,63913,5501
sushitrash,2014-06-21 10:55:15+08:00,1,1625417,245
TheStruts,2010-05-13 23:24:05+08:00,27,76669,11383
MrJacobBanks,2009-09-16 11:01:24+08:00,685,39352,38166
88rising,2016-03-18 22:43:07+08:00,293,548407,8553
Epic_Records,2009-06-13 04:29:48+08:00,5488,394045,23462
theacesofficial,2016-01-26 05:26:31+08:00,516,32554,3304
andrewmcmahon,2010-08-18 01:49:31+08:00,85,67669,9308
ColumbiaRecords,2009-06-19 05:54:39+08:00,673,716832,39261
HaileeSteinfeld,2011-07-29 23:38:23+08:00,189,1144383,5415
SabrinaAnnLynn,2009-08-08 04:46:30+08:00,5363,1624004,14559
alessiacara,2010-06-25 04:22:49+08:00,1233,1260690,7086
RocNation,2008-09-21 02:59:33+08:00,3592,520436,32905
RepublicRecords,2010-05-27 01:24:35+08:00,456,205400,55232
lyorcohen,2010-01-05 10:50:20+08:00,68,25874,110
nineinchnails,2009-03-10 13:09:35+08:00,76,420273,1603
IslandRecords,2008-09-03 00:09:28+08:00,172709,632081,39341
Interscope,2009-05-09 01:52:15+08:00,207151,750191,35560
islandrecordsuk,2009-02-18 02:14:06+08:00,789,269639,15200
samfendermusic,2013-04-18 03:10:59+08:00,434,145990,3782
hyukohh,2014-05-01 23:56:35+08:00,0,55641,1060
YouTubeInsider,2018-09-08 01:44:52+08:00,299,20269,525
madilyn,2010-02-16 11:25:55+08:00,3717,185639,27826
RCARecords,2008-12-16 02:43:20+08:00,1458,460105,25970
kanyewest,2010-07-23 07:00:05+08:00,211,30602377,1911
Astralwerks,2009-01-25 01:37:01+08:00,248,24604,45718
PistolAnnies,2011-03-16 06:58:24+08:00,82,198786,946
burnaboy,2010-11-13 05:52:05+08:00,1033,5586198,60903
sanholobeats,2011-07-30 19:43:05+08:00,8457,147783,28820
Casey,2010-06-11 01:54:33+08:00,2921,2087773,30391
EarthWindFire,2009-09-23 23:57:26+08:00,210,108226,6803
MumfordAndSons,2012-09-26 17:59:17+08:00,38,635428,1796
HunterHayes,2009-03-13 02:14:33+08:00,158,1401562,5592
carlosvives,2009-09-27 16:34:25+08:00,2466,5255246,27514
tigersjaw,2009-05-19 20:42:52+08:00,562,62854,9263
TeamYouTube,2015-02-20 02:37:53+08:00,1465,1258478,1394497
MaddieLarkin,2011-06-10 07:02:31+08:00,164,1791,2241
MikeWiLLMadeIt,2009-06-15 16:21:24+08:00,510,748689,103213
TroubleDTE,2010-09-12 06:49:19+08:00,242,109540,32502
lilmiquela,2016-04-01 15:15:01+08:00,418,30298,6235
TheBlaze_Prod,2017-02-06 23:24:49+08:00,34,6040,209
EmpressOf,2012-05-15 05:03:08+08:00,203,20097,7007
Bas,2009-01-10 14:49:58+08:00,980,307769,31621
JColeNC,2009-01-16 01:08:04+08:00,415,14120520,2855
itsthanh,2008-09-22 12:04:23+08:00,469,2926,2159
AngelaCourtin,2011-07-08 22:52:58+08:00,1134,2570,1930
