tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
"Get ready for a new album from The Boss.

Pre-add @springsteen’s #LetterToYou and listen to the title track now:… https://t.co/fQqZDk1CVf",2020-09-11 00:24:01+08:00,36,433,['LetterToYou'],no_media,['springsteen'],True,False
Listen to @InternetMoney x @1GunnaGunna x @DonToliver x @beatsbynav's #Lemonade #OnRepeat: https://t.co/Xy6a6mevTf https://t.co/vmUApOonbI,2020-09-10 22:57:05+08:00,11,150,['Lemonade'],photo,['InternetMoney'],True,False
Keep listening to @24kGoldn x @ianndior’s #Mood on #TodaysHits: https://t.co/GbjeOeSlTq https://t.co/3qn8J6LIKa,2020-09-10 10:02:14+08:00,12,242,['Mood'],photo,['24kGoldn'],True,False
A new album from @madisonbeer is on the way. Get the details on the project and her latest track #Baby on the… https://t.co/yIneoEgDTr,2020-09-10 08:27:16+08:00,60,353,['Baby'],no_media,['madisonbeer'],True,False
"South London’s @YoungsTeflon steps up to the mic.

Watch his #FireInTheBooth freestyle with @CharlieSloth now.… https://t.co/lTwXszg0mv",2020-09-10 06:08:20+08:00,25,174,['FireInTheBooth'],no_media,['YoungsTeflon'],True,False
".@JimmieAllen links with former @BuffaloBills center @EWood70 on a new episode of #WildcardRadio.

Tune-in now on A… https://t.co/mZg9KH6igQ",2020-09-10 05:02:46+08:00,4,71,['WildcardRadio'],no_media,['JimmieAllen'],True,False
"“It’s about wanting to have fun with someone new after a breakup, and not letting it get too serious—even when they… https://t.co/KptQE0Hs7E",2020-09-10 04:31:57+08:00,57,591,[],no_media,[],True,False
"“Music was a great escape for me to lose myself, imagine and dream of being anywhere else.”

@ShaniaTwain is back w… https://t.co/bZp500KIWU",2020-09-10 03:04:32+08:00,57,368,[],no_media,['ShaniaTwain'],True,False
".@oldmanebro x @LowKeyUHTN get into @BigSean’s new album #Detroit2, @djkhaled x @Drake’s #POPSTAR visual starring… https://t.co/btbk0XhhFS",2020-09-10 01:13:59+08:00,18,123,['Detroit2'],no_media,['oldmanebro'],True,False
"“I was hungry. I wanted to stand out and I wanted to be somebody.”

Introducing our new #UpNext artist,… https://t.co/GPihXPcpGL",2020-09-09 23:52:53+08:00,18,137,['UpNext'],no_media,[],True,False
"“This song doesn’t mean that I’m the leader. I am simply watching, examining, and wanting to highlight all of the p… https://t.co/n6G60YJ6sn",2020-09-09 07:01:08+08:00,106,495,[],no_media,[],True,False
"🎵 There's a hole in the bottle, leakin’ all this wine. 🎶

@KelseaBallerini goes through her favorite drinking songs… https://t.co/kqtHY8SfOL",2020-09-09 05:04:57+08:00,53,336,[],no_media,['KelseaBallerini'],True,False
"More @findingfletcher is on the way. 🖤 

Pre-add her album and listen to #TheOne now: https://t.co/ch19yGb1sP https://t.co/21uSaZBgLB",2020-09-09 03:58:31+08:00,78,978,['TheOne'],photo,['findingfletcher'],True,False
"RT @AppleMusicES: .@RBD_oficial: 16 años de historia.

#VuelveLaMúsica y están más cerca que nunca.

https://t.co/cT3FJeshRX https://t.co/O…",2020-09-09 03:27:01+08:00,154,0,['VuelveLaMúsica'],no_media,['AppleMusicES'],True,False
