date,created_at,num_of_tweet,favourite_count,followers_count,friends_count,profile_img
2021-09-24,2009-09-16 06:49:25+08:00,36442,362,9908674,2067,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-25,2009-09-16 06:49:25+08:00,36454,362,9909890,2067,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-26,2009-09-16 06:49:25+08:00,36457,362,9910564,2067,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-27,2009-09-16 06:49:25+08:00,36462,362,9910980,2067,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-28,2009-09-16 06:49:25+08:00,36467,363,9911310,2067,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-29,2009-09-16 06:49:25+08:00,36471,363,9911659,2067,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-09-30,2009-09-16 06:49:25+08:00,36476,363,9911964,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-10-01,2009-09-16 06:49:25+08:00,36482,363,9912226,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-10-02,2009-09-16 06:49:25+08:00,36494,363,9912795,2067,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-10-03,2009-09-16 06:49:25+08:00,36498,363,9913360,2067,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-10-04,2009-09-16 06:49:25+08:00,36501,363,9913547,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-10-05,2009-09-16 06:49:25+08:00,36508,363,9916403,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-10-06,2009-09-16 06:49:25+08:00,36512,364,9917372,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-10-07,2009-09-16 06:49:25+08:00,36517,364,9918159,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-10-08,2009-09-16 06:49:25+08:00,36523,364,9918391,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-10-09,2009-09-16 06:49:25+08:00,36530,364,9918861,2066,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
2021-10-10,2009-09-16 06:49:25+08:00,36536,364,9919365,2064,https://pbs.twimg.com/profile_images/1431129444362579971/jGrgSKDD.jpg
