tweet_text,created_at,retweet_count,favorite_count
.@AppleMusic Number 1 R&amp;B/Soul. Number 5 All genres! Cina Soul 2.0 is coming for everything!… https://t.co/xllTzbap7x,2021-09-27 03:26:00+08:00,133,287
"New music makes the world go round, and my #Earwax music helps.

Listen now on @AppleMusic with songs by @giveon,… https://t.co/7GTsFicsin",2021-09-27 08:00:01+08:00,23,364
@orlagartland @AppleMusic My pleasure - keep it up 🚀,2021-09-26 21:38:44+08:00,19,724
"Siempre quise llegar al corazón de la gente tanto con canciones de amor como con canciones más enojadas.
 
Full Vid… https://t.co/0MzJYejARA",2021-09-26 21:33:58+08:00,40,189
Pre-add “Love For Sale” on @AppleMusic to listen to the album in Spatial Audio on Friday 🥰 @itstonybennett… https://t.co/v9qXtoZask,2021-09-29 02:13:38+08:00,1231,8283
"#ScorpioFlow 🦂🦂🦂
⁦@AppleMusic⁩  https://t.co/jicmrDEQkd",2021-09-30 19:16:09+08:00,97,254
"‘Patroas 35%’ is here!! 

Listen to the latest from @MariliaMReal &amp; @MaiaraeMaraisa on @AppleMusic:… https://t.co/li9Vnl9DvO",2021-09-29 02:55:55+08:00,43,675
Emily on A-List Pop! Thanks @AppleMusic https://t.co/0WbmiOv3Qb https://t.co/UQ2ooRq0Ms,2021-09-29 02:04:17+08:00,63,383
Tune in to #FirstListenGagaBennett with @AppleMusic this Thursday hosted by @zanelowe to hear new songs from Love F… https://t.co/Ljva6LtqaK,2021-09-28 02:02:29+08:00,1489,10166
"Check out my conversation w/ @BrookeReese on The Chart Show on @AppleMusic. Listen here at 6am PT, 9am ET, 2pm BST:… https://t.co/z1IyqDaBiN",2021-09-28 07:37:45+08:00,271,2785
"Excited to announce #FirstListenGagaBennett with @AppleMusic on Thursday hosted by @zanelowe. 
@ladygaga is playing… https://t.co/Dx66j1fZxl",2021-09-28 01:00:06+08:00,323,1578
"thank uuu @zanelowe for chatting to me about all things 🐍crave🐍 🌙 @applemusic 
https://t.co/5cg7cQqRAB https://t.co/tFECAfheDT",2021-09-29 01:15:00+08:00,43,328
"🐍 @AppleMusic , craving. #NewMusicDaily 🐍 https://t.co/wV8wRQMCVo https://t.co/POAMFVOvrB",2021-09-29 01:05:00+08:00,46,324
"“agradece” já está disponível na versão Dolby Atmos, na @AppleMusic! Ouça com qualidade de “áudio de cinema” 🌻… https://t.co/0Y1WWza08R",2021-09-28 09:05:43+08:00,17,180
"Today on the Ebro Show I’m talking to @Grip_SS about his latest album I Died For This!?

Open @AppleMusic and tap R… https://t.co/mQwBUlbBLC",2021-09-28 04:12:23+08:00,20,111
come n listen to better days and have a lil catch up with meeeee ☀️ join with @AppleMusic or @Spotify premium for t… https://t.co/uHkSLaMwZe,2021-09-28 23:19:27+08:00,22,104
"When praises go up! Thanks @applemusic for including my single #Driveback to the “New In R&amp;B”
Playlist 

Continue t… https://t.co/ZQyXJMmn16",2021-09-28 01:50:31+08:00,31,214
Thank you @oldmanebro @applemusic for having me on #AppleMusic1 to talk about my new album #IDiedForThis -  everyon… https://t.co/qF82kxlZya,2021-09-28 22:32:47+08:00,32,216
"Thanks for listening on ⁦@AppleMusic⁩ 🤍
https://t.co/1qMfCQEJvZ https://t.co/oRRoeo2mV7",2021-09-28 22:10:41+08:00,28,139
"Soul of Doctor on ⁦@AppleMusic⁩ 

⁦⁦@anirudhofficial⁩ ⁦@ninj_r⁩  https://t.co/suNSfCgb5P",2021-09-29 00:05:21+08:00,31,98
S/O the big homie @oldmanebro and the good people at @AppleMusic https://t.co/ykUelcJJhp,2021-09-28 04:42:00+08:00,28,164
"اسمعوا #الحلزونة على @AppleMusic 

https://t.co/HyFQZhCgdW",2021-09-27 23:33:24+08:00,24,147
It was an honour to chat to you @eltonofficial for #RocketHour 🚀 Sooooooo happy you love Let Them Know 💖… https://t.co/JG2e1nI9KS,2021-09-27 23:24:14+08:00,24,295
HEAT. @Tainy on the show today talking the  @sanbenito @julietav collab “Lo Siento”. Tap in @AppleMusic https://t.co/M60DzIk4KV,2021-10-06 00:10:35+08:00,38,339
