friends_screen_name,created_at,friends_count,followers_count,tweet_count
Briggs,2009-02-23 22:06:18+08:00,479,59980,5507
cuppymusic,2010-12-15 21:59:30+08:00,256,3573334,17704
AriMelber,2008-07-15 23:57:23+08:00,9081,902584,53813
SabiSoundz,2010-01-11 05:28:51+08:00,554,20801,20273
NinaSky,2008-10-12 02:17:27+08:00,1330,47049,16887
nadameansnothin,2011-01-12 04:16:01+08:00,444,54205,20804
lukelaird,2018-10-13 22:47:23+08:00,151,317,156
aleciadavis,2008-04-22 07:30:54+08:00,2123,10633,5164
kellymccartneyx,2009-10-12 07:42:36+08:00,559,2196,39232
OnAirWithBree,2009-09-19 13:38:43+08:00,720,1415,2351
ashleyeicher,2010-01-31 15:16:06+08:00,1559,2205,6925
NukemNick,2010-06-30 12:21:29+08:00,771,642,26847
yourboyeddie,2009-02-18 06:42:21+08:00,1286,12765,154015
chrisloosmedia,2009-03-13 05:33:47+08:00,939,2614,25758
MehdiMouse,2009-04-11 02:09:52+08:00,1121,161191,34784
arianejati,2013-01-04 18:47:18+08:00,0,3901,34
rebecca_judd,2013-02-27 05:15:13+08:00,1740,9104,50619
TheDottyShow,2010-05-02 17:10:45+08:00,265,41341,768
TheWarOnDrugs,2011-01-11 13:56:03+08:00,49,67357,1860
JennOnAir,2014-04-03 06:12:48+08:00,590,11730,4567
LilTunechi,2010-02-22 13:29:44+08:00,56,34832145,2437
SelenaLaLeyenda,2010-01-15 08:15:17+08:00,993,118678,983
JimmieAllen,2009-07-18 05:03:13+08:00,4606,53014,27963
HeadieOne,2011-02-08 04:06:13+08:00,52,146723,14449
ogchaseb,2009-09-20 04:26:38+08:00,375,78508,19130
dannapaola,2010-02-07 11:48:13+08:00,1066,5669628,23975
peachtreerascal,2018-05-18 08:35:00+08:00,7,7497,665
yungblud,2013-08-23 19:37:06+08:00,519,623136,7167
i_am_j_i,2012-10-17 10:21:55+08:00,41,4773,90
Casper_magico,2016-12-21 09:02:07+08:00,19,87894,2074
NioGarcia,2017-08-07 14:40:48+08:00,6,117543,11613
PaulWoolford,2009-01-28 20:45:16+08:00,7405,48349,11419
KareenLomax,2013-04-07 01:31:11+08:00,716,1460,2812
ianndior,2019-01-30 14:49:49+08:00,36,312305,1931
anthonyjoshua,2011-07-19 19:16:15+08:00,195,3364168,10546
nvdesmusic,2014-06-15 01:05:02+08:00,9,1414,1782
theacaciastrain,2007-03-24 03:33:42+08:00,154,51850,5282
MattMaeson,2009-06-11 02:20:37+08:00,2,19704,3166
_FloMilli,2017-06-01 09:00:49+08:00,86,348640,1108
aaron_dessner,2014-12-16 03:16:52+08:00,347,68396,1336
kaelinellis,2010-07-03 08:51:39+08:00,693,28406,17449
mczaac,2016-06-07 11:01:25+08:00,101,35371,1935
luisasonza,2011-10-24 04:15:16+08:00,968,3390857,25936
4everBrandy,2009-03-29 18:11:01+08:00,3919,3196134,20349
El_Fanta45,2013-05-14 12:36:31+08:00,460,10741,2231
Alanis,2008-11-15 08:36:36+08:00,281,551575,2014
FatouDiawara,2011-05-20 04:21:34+08:00,1064,24068,1634
christomlin,2009-05-19 23:20:31+08:00,75,968109,6071
tomorrowland,2009-08-28 16:44:10+08:00,234,2346824,5861
NissiNation,2011-01-03 03:48:37+08:00,424,6481,4499
Prospauk,2015-05-02 19:36:34+08:00,190,1866,654
Lornebalfe,2011-07-11 07:24:27+08:00,1041,26658,12180
lilmosey,2016-03-07 14:40:07+08:00,0,384748,267
ReikMx,2009-06-17 03:29:45+08:00,632,4001040,21741
PopcaanMusic,2010-06-04 03:27:15+08:00,366,545140,3838
sukihanagoat,2017-05-10 11:00:42+08:00,312,285291,5612
RubixxRose,2011-04-17 01:53:32+08:00,265,692924,10429
bloodpop,2010-07-21 10:38:08+08:00,643,61207,6366
channel_tres,2018-02-23 13:44:47+08:00,62,9636,2019
SGLewis_,2010-06-06 20:18:10+08:00,1200,26101,2986
AVATARmetal,2012-02-04 00:27:47+08:00,289,26908,1301
grahamcoxon,2009-01-04 17:35:39+08:00,875,165277,12436
BANDARECODITOSS,2010-12-03 08:22:39+08:00,3019,854506,29653
BENEEMUSIC,2017-11-28 15:55:40+08:00,124,41827,594
GoldenFeatures,2014-02-10 11:53:52+08:00,186,6741,3069
Nlechoppa1,2019-01-22 12:32:39+08:00,95,1035487,4020
Latto,2010-08-31 07:00:58+08:00,755,1470315,73629
Blessed_Madonna,2008-04-07 09:17:50+08:00,3464,42036,3935
BANDA_MS,2010-02-23 08:45:31+08:00,2542,1335163,34083
burnsmusic,2009-01-09 04:28:15+08:00,631,22675,12574
IamTabithaBrown,2009-03-11 07:26:47+08:00,2385,232984,12749
Kito,2009-05-08 16:04:50+08:00,534,7285,9531
jelaniaryeh,2014-03-23 09:47:40+08:00,177,3119,863
HolHumberstone,2018-08-03 21:14:59+08:00,99,8715,1205
zdevin,2009-09-27 06:17:12+08:00,410,21478,5753
TamikaDMallory,2011-02-07 09:52:54+08:00,7118,157721,10298
oasis,2008-12-04 01:48:18+08:00,6,1027945,2116
iamblackbear,2008-11-13 21:10:19+08:00,1356,2000482,3947
Cayleehammack,2012-06-19 01:56:20+08:00,102,8475,1910
lukesteele,2018-12-18 03:25:19+08:00,6,564,9
pabllovittar,2010-08-03 20:11:38+08:00,11314,2505592,25172
lauvsongs,2015-03-02 19:59:43+08:00,810,1187399,6567
bjork,2007-08-17 08:31:18+08:00,33,773300,1262
arca1000000,2011-08-26 10:10:48+08:00,172,101506,1261
slowthai,2011-04-03 05:25:52+08:00,99,147855,1371
ZoeWeesOfficial,2020-01-29 02:35:32+08:00,151,3942,388
DSmoke7,2009-06-12 07:13:00+08:00,480,94934,4582
PJMORTON,2009-03-28 22:13:26+08:00,928,141794,47780
rapsody,2008-11-06 06:06:20+08:00,770,128786,1448
StevenVictor,2008-12-09 09:27:05+08:00,244,21009,822
Lin_Manuel,2009-10-05 12:59:07+08:00,3919,3564066,66488
heisrema,2017-05-02 13:36:00+08:00,107,2289513,1452
Tainy,2019-08-20 08:11:05+08:00,182,54049,898
CamiloMusica,2010-02-03 06:23:32+08:00,496,1528752,15484
TiggsDaAuthor,2010-06-01 06:07:44+08:00,929,9452,15123
tenilletownes,2010-10-15 09:52:31+08:00,1624,22077,10627
iamluckydaye,2009-04-01 00:56:04+08:00,397,65605,1821
RitaWilson,2010-04-09 01:10:24+08:00,745,457048,13325
LilBibby_,2012-01-23 02:37:09+08:00,488,1825994,19528
hattiecollins,2008-07-01 05:47:59+08:00,1334,10292,20581
lambofgod,2010-10-06 01:14:48+08:00,6,769919,4976
gracieabrams,2014-07-09 20:53:14+08:00,201,46327,701
amaarae,2010-01-19 02:43:22+08:00,603,37812,19068
LowKeyUHTN,2008-08-05 02:51:47+08:00,4264,63538,402523
neweryork,2009-03-05 09:12:44+08:00,831,67168,12068
takeadaytrip,2013-07-27 08:33:40+08:00,693,23224,2149
theacesofficial,2016-01-26 05:26:31+08:00,520,32600,3264
elnodal,2017-06-09 09:06:30+08:00,1,510406,664
sechmusic,2017-03-02 09:20:31+08:00,0,1391806,944
ChinoyNacho,2009-08-31 01:04:34+08:00,190,4533788,20511
BiffyClyro,2009-05-01 05:24:54+08:00,83,268744,4067
DeLaGhettoReal,2009-08-04 14:44:05+08:00,971,2352126,44913
lovelytheband,2017-03-02 12:44:43+08:00,2945,35144,2313
NattiNatasha,2009-10-17 03:36:52+08:00,554,2058157,55985
followthefishtv,2009-11-29 04:58:54+08:00,175,56757,5568
conangray,2013-12-02 10:25:10+08:00,0,1209686,9699
MauYRicky,2009-04-27 13:48:43+08:00,7317,773276,17251
HaileeSteinfeld,2011-07-29 23:38:23+08:00,190,1135767,5369
LoudLuxury,2012-07-16 16:12:40+08:00,335,18133,4309
carinleonofi,2018-01-24 07:12:09+08:00,3,8988,256
DimeloFlow,2009-04-10 23:55:36+08:00,287,12166,12524
LennyTavarezTM,2009-09-12 14:43:07+08:00,80,438128,6066
DalexMusic,2009-10-22 11:39:40+08:00,92,495889,13370
rauwalejandro,2013-04-06 13:03:14+08:00,15,1340768,28962
Nasty_CSA,2012-05-10 00:52:32+08:00,724,1949954,48241
unitedmasters,2016-12-24 10:36:35+08:00,138,20410,2564
VicOladipo,2009-11-06 13:27:43+08:00,573,319904,4108
feelmybicep,2008-07-03 16:47:30+08:00,1054,62291,14908
AvaMax,2013-03-06 07:01:57+08:00,194,161977,1594
VictoriaMonet,2009-03-09 03:41:38+08:00,3639,589787,22064
KianaLede,2011-02-09 16:41:16+08:00,1346,199318,22681
rodwave,2016-12-13 22:18:43+08:00,0,947237,974
Saweetie,2011-05-04 12:52:30+08:00,3,1891653,9979
TheAlabamaBand,2011-06-01 23:48:46+08:00,2269,71817,3456
BobSeger,2011-01-29 05:15:55+08:00,64,85762,1449
tonibraxton,2008-12-15 16:30:35+08:00,232,1794956,18372
