tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
#ROSALÍA and #Tokischa on the same track? The women are in control on #Linda 💅 https://t.co/8vhwqP45zS https://t.co/JnK6UwX1ND,2021-09-02 20:15:00+08:00,122,828,['ROSALÍA'],photo,[],True,False
#LPGiobbi and #HANA's #SpotifySingles collab will have you dreaming on the dance floor 💭 #CloseYourEyes is here… https://t.co/LSV6evQTbE,2021-09-02 08:54:20+08:00,12,256,['LPGiobbi'],no_media,[],True,False
Which #TodaysTopHits song is getting you through the week?,2021-09-02 06:12:10+08:00,57,811,['TodaysTopHits'],no_media,[],False,False
@davidguetta  and  #Sia's  #Titanium just secured its spot in the #BillionsClub 🔒 https://t.co/avNpctI3rb https://t.co/yJVxplnDzq,2021-09-02 05:12:54+08:00,105,378,['Sia'],photo,['davidguetta'],True,False
@carapucha @Harry_Styles We can never go without 😍🍉,2021-09-02 00:32:21+08:00,0,23,[],no_media,['carapucha'],False,False
@Princesa_sas Olivia truly reigned this summer 👑👸🏻,2021-09-02 00:28:56+08:00,0,27,[],no_media,['Princesa_sas'],False,False
@alxndrptrck_ It really did slip away...,2021-09-02 00:26:53+08:00,0,9,[],no_media,['alxndrptrck_'],False,False
@matteo_resca Couldn't agree more ☺️,2021-09-02 00:25:24+08:00,0,21,[],no_media,['matteo_resca'],False,False
@9JinHitEnt @BTS_twt It melted us all 👏,2021-09-02 00:22:38+08:00,74,370,[],no_media,['9JinHitEnt'],False,False
@BrownsvilleKa Thank you Ka 💚,2021-09-02 00:14:38+08:00,27,301,[],no_media,['BrownsvilleKa'],False,False
RT @BrownsvilleKa: https://t.co/5leDq27B8u,2021-09-02 00:14:27+08:00,363,0,[],no_media,['BrownsvilleKa'],True,False
RING RING ☎️  The certified lover boy @Drake just hit 1B streams on #HotlineBling 👀 #BillionsClub… https://t.co/DR4DHJfom0,2021-09-01 23:41:01+08:00,87,947,['HotlineBling'],no_media,['Drake'],True,False
"🗓2021🗓
JAN ✅
FEB ✅
MAR ✅
APR ✅
MAY ✅
JUN ✅
JUL ✅
AUG ✅
SEP
OCT
NOV
DEC

Song of the summer? ☀️",2021-09-01 23:03:46+08:00,475,5586,[],no_media,[],False,False
@iamcladha What was your taste match? 🤔,2021-09-01 22:37:52+08:00,0,1,[],no_media,['iamcladha'],False,False
@Rania__AM The anticipation 👀👀👀,2021-09-01 22:25:01+08:00,0,6,[],no_media,['Rania__AM'],False,False
"@sayeonation It's a new shared playlist! Check this out for more info 👇
https://t.co/6SHGABevu3",2021-09-01 22:22:37+08:00,0,14,[],no_media,['sayeonation'],True,True
@theemerce Well he is King Vamp 🩸,2021-09-01 22:21:54+08:00,0,4,[],no_media,['theemerce'],False,False
@Silvioleak What % match did you get 👀,2021-09-01 22:13:53+08:00,0,0,[],no_media,['Silvioleak'],False,False
"Just search ""Blend"" to get started 👯‍♀️",2021-09-01 22:06:53+08:00,14,418,[],no_media,[],False,False
Tag a friend you want to Blend with 👇,2021-09-01 22:05:43+08:00,46,938,[],no_media,[],False,False
"After having #Donda on repeat, it’s time to hear your reactions 🎧 Come talk about Kanye’s 10th 
studio album live w… https://t.co/6qno84wFy6",2021-09-01 10:02:36+08:00,33,645,['Donda'],no_media,[],True,False
"RT @dissectpodcast: DONDA: First Impressions 🏠

Live Discussion TONIGHT 🗓 

w/ Cole Cuchna, Femi Olutade (S5 co writer), and Chris Lambert…",2021-09-01 07:41:58+08:00,20,0,[],no_media,['dissectpodcast'],False,False
#AnnaSitar has us all up in our feelings this Tuesday. Grab your tissues and hear her picks on Sad Hour… https://t.co/lLtuP7ucfj,2021-09-01 06:09:50+08:00,20,316,['AnnaSitar'],no_media,[],True,False
Ready to Blend? Get shared personalized playlists with % match scores 🤝 https://t.co/Z2jC4B2Os5,2021-08-31 22:15:05+08:00,86,1028,[],video,[],False,False
RT @SpotifyGrnroom: .@deuxmoiworld is live now with @DorindaMedley answering all your RHONY questions and more 🌃 Hop in for a chance to be…,2021-08-31 09:15:26+08:00,8,0,[],no_media,['SpotifyGrnroom'],False,False
@ladygaga 💗 The Dawn of Chromatica is rising 💗,2021-08-31 05:19:16+08:00,709,4887,[],no_media,['ladygaga'],False,False
"RT @spotifycharts: On Sunday, August 29, Kanye West's Donda broke the record for the most-streamed album and artist in a day so far in 2021…",2021-08-31 03:59:08+08:00,435,0,[],no_media,['spotifycharts'],False,False
@Vheaktoh 👏👏👏,2021-08-31 00:44:59+08:00,0,10,[],no_media,['Vheaktoh'],False,False
@iam_Bamzy10 It switches up by the hour 😂,2021-08-31 00:43:01+08:00,0,4,[],no_media,['iam_Bamzy10'],False,False
@MYHAlRR 🌀🌀🌀,2021-08-31 00:40:40+08:00,0,4,[],no_media,['MYHAlRR'],False,False
@lonasiaw Out of this world 👼,2021-08-31 00:37:29+08:00,3,99,[],no_media,['lonasiaw'],False,False
@Lahawlahalaand Correct 👏,2021-08-31 00:32:06+08:00,0,12,[],no_media,['Lahawlahalaand'],False,False
@kevinabstract That piano ending 🤌,2021-08-31 00:30:39+08:00,11,686,[],no_media,['kevinabstract'],False,False
There’s magic in the air after @BrunoMars’ #24KMagic hit 1 billion streams 💫 #BillionsClub https://t.co/avNpctI3rb https://t.co/jSi6XkAgWR,2021-08-30 22:49:34+08:00,158,1021,['24KMagic'],photo,['BrunoMars'],True,False
Fav track on #Donda so far?,2021-08-30 22:25:10+08:00,304,7869,['Donda'],no_media,[],False,False
"RT @spotifycharts: We have a new number #1 🚨
#PlanetHer earns the top Global spot for the first time since its release 🪐 (Aug 20-Aug 26, 20…",2021-08-30 21:56:46+08:00,153,0,['PlanetHer'],no_media,['spotifycharts'],False,False
"RT @spotifycharts: .@DojaCat’s “Woman"" enters the Top 10, giving #PlanetHer three songs at the top of the charts 🪐 (Aug 20-Aug 26, 2021) #S…",2021-08-30 21:56:43+08:00,130,0,['PlanetHer'],no_media,['spotifycharts'],False,False
RT @RapCaviar: Official #Donda features 👀 https://t.co/U5HkCNUEKb,2021-08-30 05:09:55+08:00,872,0,['Donda'],photo,['RapCaviar'],False,False
"R.I.P. to Lee ""Scratch"" Perry, reggae icon, dub pioneer, and visionary genius 🇯🇲 https://t.co/BbCIxfTcot",2021-08-29 23:47:23+08:00,750,2788,[],photo,[],False,False
FINALLY 😩 @kanyewest just dropped #Donda: https://t.co/AHzvduIsg2 https://t.co/FJFkPCTecj,2021-08-29 20:00:02+08:00,6593,29100,['Donda'],photo,['kanyewest'],True,False
RT @RapCaviar: 30 minutes #DONDA,2021-08-29 19:31:21+08:00,460,0,['DONDA'],no_media,['RapCaviar'],False,False
"RT @SpotifyJP: ◢◤◢◤NEW MUSIC FRIDAY◢◤◢◤

◤ #CHAI 
  ""#miniskirt"" ◢

CHAI's new pop single ‘miniskirt’ is a song with a club-ready rhythm an…",2021-08-28 08:05:33+08:00,27,0,['CHAI'],no_media,['SpotifyJP'],False,False
"RT @SpotifyArabia: ⚡️ جديد هذا الأسبوع ⚡️

رابع أغنية من ألبوم #محمد_حماقي الجديد #يا_فاتني نزلت 🤩
اسمعوا #طالع_موضة على Spotify 
https://t…",2021-08-28 08:05:24+08:00,8,0,['محمد_حماقي'],no_media,['SpotifyArabia'],False,False
