tweet_text,created_at,retweet_count,favorite_count
"[MESSAGE FROM THE CLERGY] 

We wish to inform you Ghost is featured on the cover of New Metal Tracks... Thank you… https://t.co/6spbKTI62d",2021-10-02 05:29:23+08:00,186,1698
You heard it here first.. #ComeBackAsACountryBoy is some HOT COUNTRY! Thanks @Spotify!!!! https://t.co/ihJXwG0t0c https://t.co/XA4OSFioPz,2021-10-02 05:26:23+08:00,101,848
THANK YOU @Spotify for the love ❤️ go find “I Don’t Want to Talk” in New Music Friday 😤 https://t.co/eVFndtRw93,2021-10-02 00:19:28+08:00,146,1407
some people will say it’s photoshop…but this is REAL LIFE 🥺 TWO BILLBOARDS in the greatest cities in the world thx… https://t.co/BgwuzRqJMI,2021-10-02 01:26:50+08:00,67,285
"This is very cool and a well-deserved honor for teams at @Dreamville, @nice_awfully and @Spotify. Participating in… https://t.co/Zpb10efWuv",2021-10-02 00:03:07+08:00,53,142
One time for @Spotify  we outside #pokeitout available now . We love you NYC https://t.co/lnMNUTVdSl,2021-10-01 23:55:49+08:00,58,273
"#BGYO | ""Kulay"" is now featured on @spotify's New Music Friday Philippines! 

Make sure to check out here :… https://t.co/InyfkZiV2j",2021-10-01 16:34:02+08:00,580,1257
Give it up for the @werepbam Queen @s3fa_gh !! As she covers @Spotify New Music Friday cover with #Fever featuring… https://t.co/HoMaqvSie9,2021-10-01 22:29:19+08:00,135,808
"Si VP @lenirobredo ang bagong miyembro ng trio tagapayo na tutulong sa ating nagmamagandang letter sender! 🥰 

Next… https://t.co/hs9uBeqPbH",2021-10-01 14:08:03+08:00,218,1772
"Thanks @Spotify 🙏🏾

Check out Day One on All New All Now! 

https://t.co/yTwCrKgeLm https://t.co/uiFPIDvzxA",2021-10-01 21:18:31+08:00,45,292
Little known fact: We need anxiety to stay alive. But how do we know when it crosses the line from survival instinc… https://t.co/SoevP7LXwB,2021-10-01 22:45:42+08:00,35,152
"""Another Chance"" from @djrogersanchez and @oliverheldens is today's #1 on #F1Tracks!

Tune in &amp; turn it up NOW on… https://t.co/rGN9O3iv97",2021-10-01 18:45:00+08:00,42,950
"🏴󠁧󠁢󠁳󠁣󠁴󠁿 New month... New @Spotify playlist! 🏴󠁧󠁢󠁳󠁣󠁴󠁿

@neonliston @theevesmusic @ninanesbitt @LukeLaVolpe @DOGTOOTH4… https://t.co/c1jnJDDqhx",2021-10-01 19:11:25+08:00,19,32
#ReggaetonyTrap en @Spotify con lo mejor de mi música incluyendo #NattiVidad 🔥 https://t.co/V2IzKS5EiP https://t.co/KPgkEA4z6Z,2021-10-01 23:27:12+08:00,38,512
"La Izquierda de la Noche en Novedades Rock 
@Spotify @SpotifyARG

https://t.co/7hzjWIXolI https://t.co/RXQdscu2XG",2021-10-01 23:45:19+08:00,34,170
"ITZY The 1st Album
&lt;CRAZY IN LOVE&gt;

Released Online : 
💟 Spotify https://t.co/Mw9OyIhSTt

📍 ITZY Channel… https://t.co/BGPJdaxruF",2021-09-24 12:16:17+08:00,5637,23691
Only One on New Music Friday 🤍 thank you @Spotify https://t.co/m6yuOcAZ3A,2021-09-24 12:07:39+08:00,35,130
y’all sent IDGAF over 1M streams on @spotify! thank YOU 🖤 https://t.co/F88rASGEeF,2021-09-24 11:47:55+08:00,41,384
@Complex @RapCaviar @AppleMusic @amazonmusic @TIDAL @voguemagazine @GQ @Spotify @billboard goin live baby!,2021-09-24 11:05:25+08:00,19,230
Tune in to our new @ReThinkTKC #PODCAST! Premiering September 29th on @YouTube @iTunes and @Spotify. With… https://t.co/ckt79fmuov,2021-09-24 10:57:03+08:00,21,62
"US! Fans of Ed can get 4 months of @Spotify premium for free 💚
The offer is available for the rest of September:… https://t.co/Un6YomQRMI",2021-09-24 01:45:07+08:00,680,5141
"Can’t believe we hit 25 mil on @Spotify for IHYMUYD 😭 Keep streaming
https://t.co/J1nZ5YSgZE https://t.co/hjjeaCmilX",2021-09-24 03:19:17+08:00,222,2794
"This playlist is amazing @Spotify 
Thanks for adding me to it! 

https://t.co/YgYDQz0HK5

#ElevenEleven #NewMusic… https://t.co/8cUocjHpOg",2021-09-24 01:36:47+08:00,231,3224
"If facts matter to you, make sure to subscribe and listen to tonight’s  episode of @MeaCulpaPodcast featuring my gu… https://t.co/p5bCUcJs1h",2021-09-24 02:19:07+08:00,86,370
Ya pueden escuchar “El Reloj Cucú” Feat. Mabel” aquí en @SpotifyMexico @Spotify https://t.co/q0lVPmHa7x,2021-09-24 10:39:15+08:00,78,392
"Adivinen: sí, ¡seguimos siendo el podcast más escuchado de Colombia!
Para seguirnos, recuerde:
1. Bajar @Spotify en… https://t.co/7CA7Cm5ZJe",2021-09-24 02:50:12+08:00,51,201
Thank you for streaming Swerve on @spotify 5 million times! How many were you? 🤔 #paparoach #swerve #newmusic… https://t.co/ge6DcfgfM5,2021-09-24 00:50:13+08:00,19,195
"Episode 250 ‘Two Fiddy’ live from our homes is now available on @SoundCloud, @Spotify, @itunes, and @GooglePlay 🎨🎨 https://t.co/NpbjLsTnlH",2021-09-24 00:47:49+08:00,34,144
"Thank you so so so much for helping us put together the ultimate Fall playlist ft. songs from @Olivia_Rodrigo,… https://t.co/wcIOqVj82x",2021-10-03 01:00:01+08:00,183,635
.@Dannocean y @TiniStoessel toman la portada de #LatinPopToday con su nueva canción #TúNoMeConoces. Play en… https://t.co/pe80mHn4v3,2021-10-03 01:00:00+08:00,79,231
"“Soon blood will spill”.. Stream our new song “The Phalanx” on @Spotify, click here to listen:… https://t.co/QXQkCENDcr",2021-10-03 04:42:45+08:00,65,445
"Check out #JohnathanBlake on the cover of @Spotify's ""State of Jazz""! Hear his new single ""LLL"" dedicated to the la… https://t.co/wAQCetTnhs",2021-10-03 07:47:47+08:00,18,51
Our collab ‘For All Time’ with @arminvanbuuren &amp; @kazijayy just hit 1 Million streams on @spotify 🎊 Thank you all f… https://t.co/y0Tx0MijCr,2021-10-03 01:00:24+08:00,28,153
"Have you been streaming my brand new Single “Drinking to the Broken Hearts” on Spotify?

Swipe to see the Awesome P… https://t.co/tfdEjfJxTO",2021-10-03 01:06:35+08:00,17,73
Tell us your favorite track off #SeeWhatsOnTheInside using emojis only! 🖤👀 @Spotify https://t.co/MEej8BoLFo,2021-10-03 02:32:50+08:00,18,202
"Massive thank you to @Spotify for the love and support on ‘Really Wanna Dance With you’, and for adding us to NMF’s… https://t.co/EYW9SZtGjQ",2021-10-02 20:39:52+08:00,30,256
